r,x,y,l,c
5.7032039776,6.9465631466,5.6231038289,1243.0488204704,9.4874959901
3.2360957929,11.2938268365,28.287395685,2649.3215421306,1.1738876858
8.5930856516,6.9062865516,32.2909365628,6914.3891105362,5.6933289044
3.8366547693,41.3400037792,5.5161676154,7217.6364073564,3.9912095737
4.9169900739,37.0954331787,13.0669169153,1115.4466615231,12.0208397915
6.0295944476,42.8607491768,19.6248037319,3036.9989052681,4.8079955049
1.5075012236,15.7511521575,25.2861391607,6851.418396194,7.287072805
5.3785027029,44.1277489586,30.9872122755,2157.5523296949,3.7617515084
1.0572158269,35.3920464069,11.5964492289,4854.0338001505,4.5036924682
8.092969659,21.4079477766,26.3560992224,4404.5842978368,6.7593086352
1.2232572065,28.1680743513,45.994365387,8909.223996575,3.6566253388
7.0151640955,13.0902324941,44.4097501853,6301.388481587,12.1840402513
7.7894306107,20.2409166696,25.9987590973,9043.2662195884,9.6749858799
9.1946367913,38.3493623458,10.3973944341,9412.8214334313,3.2219534566
8.1086679432,39.5162104986,42.6613117641,678.2905850785,13.8589813409
8.953030746,46.3270828818,46.0980663051,9014.6560122686,12.7851699579
9.0363112464,10.1608727694,31.8596680947,1708.0724979663,5.7701627296
1.798652672,27.2434043549,9.5491097856,300.4024147229,9.2500655152
0.407569102,48.9942227531,35.3232128437,1850.0878829086,11.3563895533
3.4235685266,19.3823242336,1.8055511878,1112.1282267534,11.9667127477
1.1345386957,25.1595779302,19.1035652526,450.9250381912,4.2993270609
9.4203398162,2.3260422673,3.6124366967,9667.8089357359,13.8672324606
8.9627288963,7.411815192,36.4015880789,3809.980058193,12.9243383214
6.794687869,2.8142977792,22.9550296214,5704.8367494002,7.3941865078
3.246882109,8.7728409501,33.9034070743,169.0991382259,13.579658098
7.5902069237,0.9620426599,28.5352807981,4427.2914066197,4.6033288326
7.594905949,34.203167502,27.0050535633,8977.6575321117,13.7000956911
8.6340208087,19.9189750035,7.0016285154,7614.8711982502,4.1799533528
4.0151051857,28.9301631509,45.5884014069,4522.9689673924,5.7679826451
9.9851235592,27.4811814704,14.5519489468,3254.2945805596,13.0991359337
2.9405379684,43.7480063708,11.7644161848,2643.9159377344,13.5335172219
8.4809757463,19.8369584847,40.6145378429,785.4578379267,13.9489270591
1.3715172627,49.9033017902,48.0685155268,5726.9936965826,10.675834246
2.1206066972,35.1530241544,25.1592225881,4904.798680542,7.1174266983
8.2771145111,17.6156466879,9.4436383869,5948.9552137004,8.6354678449
4.9016286505,29.3694837926,36.2126967327,5403.4554251983,0.3160103464
1.6482009535,6.2382331476,11.3722213797,3969.0591596014,0.9434080838
6.3779223908,28.1685439014,12.9509528822,1479.081591323,3.7828669276
6.0479580736,44.6652785499,37.203848955,5395.9859319198,8.817173405
5.7523233268,16.6565217201,32.922447132,5208.3630650702,4.0686153162
4.7276491712,48.6156282053,14.7060466299,6580.2924431725,8.9243555022
